MSOA11CD,RGN19NM,DeathRate,Deaths,Score,Extent,Proportion
E02000195,London,253.24149108589953,25,15.2634574554295,0,0
E02000196,London,211.04903786468032,17,24.201795282433274,0.14348982325459833,0.25
E02000197,London,145.1980916822236,14,20.92216687409251,0,0
E02000198,London,102.77492291880782,9,31.28079022496289,0.019747209750996187,0.6
E02000199,London,179.81299448573483,15,21.860988491968353,0,0
E02000200,London,56.268287193337834,5,26.687302723385102,0,0.2
E02000201,London,86.26266982963124,8,32.57277496226008,0,0.4
E02000202,London,188.61251915595898,16,21.225186254862667,0,0
E02000203,London,246.7308166790032,20,32.057699481865285,0,0.2
E02000204,London,216.2496138399753,21,23.39428019771393,0,0
E02000206,London,97.80907668231612,10,32.69587842331769,0,0.3333333333333333
E02000207,London,98.4898227183191,9,28.894131429196758,0,0.2
E02000208,London,91.37426900584795,10,37.15857090643275,0.1328125,0.6
E02000209,London,136.6586949094636,12,25.630803667008312,0,0
E02000210,London,82.80104092737166,7,18.317031582682752,0,0
E02000211,London,99.15716410510659,8,10.636362047595439,0,0
E02000212,London,32.027329988256646,3,29.77147699370129,0,0.2
E02000213,London,165.57734204793027,19,38.175810021786496,0,0.8
E02000214,London,257.35885475309635,16,11.020080746340676,0,0
E02000215,London,138.07386952019328,16,23.473589748015186,0,0
E02000216,London,140.92446448703495,10,13.495196025930102,0,0
E02000217,London,48.42224194980228,6,29.57122936001937,0,0.2
E02000218,London,75.68876778686042,5,23.216636239782016,0.23985969692623926,0.5
E02000219,London,187.6172607879925,14,9.210395872420262,0,0
E02000220,London,171.74432497013143,23,28.729766353046593,0,0.2
E02000221,London,204.08163265306123,22,27.60311632653061,0.06504394102138462,0.2
E02000222,London,59.96641880546894,5,15.096920604461502,0,0
E02000223,London,81.537565521258,7,38.79285987186954,0,1
E02000224,London,86.50519031141869,7,15.368446613939694,0,0
E02000225,London,146.1017399389029,11,32.144887368840486,0.010472838358347707,0.4
E02000226,London,199.28258270227184,15,9.373842035339445,0,0
E02000227,London,96.0111722091298,11,17.911934886968666,0.08895021659936696,0.125
E02000228,London,295.51586791725555,23,5.694873313632275,0,0
E02000229,London,222.9157378510923,15,38.70654703522069,0,1
E02000230,London,169.52345074401958,18,15.187358071199851,0,0
E02000231,London,184.62349993406303,14,8.902775286825793,0,0
E02000232,London,111.69618637306526,7,12.265277166108186,0,0
E02000233,London,109.75227343994983,7,13.924814048291001,0,0
E02000234,London,134.10818059901655,12,17.48388176128744,0,0
E02000235,London,86.13264427217915,6,11.454742894056848,0,0
E02000236,London,147.49262536873155,12,9.59207116519174,0,0
E02000237,London,210.8314665963895,16,12.553172354723944,0.10474440152297991,0.2
E02000238,London,64.07518154634772,6,18.83629634771465,0,0
E02000239,London,79.84487281852401,7,12.756544085776207,0,0
E02000240,London,99.59167413604222,10,29.91650423264615,0.049527463714559766,0.3333333333333333
E02000241,London,149.03129657228018,10,20.37648867362146,0,0
E02000242,London,161.1957796014068,11,15.126761576787809,0,0
E02000243,London,190.18186140496852,16,24.206076785926545,0,0.2
E02000244,London,26.595744680851066,2,17.11423430851064,0,0
E02000245,London,156.45685401372006,13,37.98971885906848,0,0.8
E02000246,London,70.21650087770625,6,30.41032966647162,0,0.4
E02000247,London,332.63638091617565,35,27.881627257175445,0,0.3333333333333333
E02000248,London,77.53941586973379,6,18.994215301111396,0,0
E02000249,London,296.53592128319184,22,24.623477827200432,0,0.25
E02000250,London,224.89959839357428,14,8.080885943775101,0,0
E02000251,London,54.36998776675276,4,17.337289112409948,0,0
E02000252,London,0,0,28.021077747299845,0,0.2
E02000253,London,183.64480933347735,17,34.074534730474234,0.12349146876048281,0.5
E02000254,London,250.44722719141325,21,22.717142158616575,0,0
E02000255,London,98.543742472353,9,21.135407971093837,0.10689950267105405,0.16666666666666666
E02000256,London,56.274620146314014,5,14.318576027011817,0,0
E02000257,London,68.3900971139379,10,16.3542014772261,0,0
E02000258,London,85.34850640113798,6,18.55420540540541,0,0
E02000259,London,83.55614973262031,5,14.834083556149734,0,0
E02000260,London,212.24663058473948,20,26.670390639923593,0,0.2
E02000261,London,49.586776859504134,6,23.589521487603307,0,0
E02000262,London,318.2903262475844,28,26.554563146527226,0,0.2
E02000263,London,165.9613310098747,20,29.425818355323212,0,0.16666666666666666
E02000264,London,106.48367250354946,9,18.065194628490296,0,0
E02000265,London,141.75014175014175,15,27.832005292005295,0.2490547503705398,0.5
E02000266,London,216.91973969631238,25,36.98357934924078,0.022135860258020314,0.8571428571428571
E02000267,London,110.77263915812794,8,19.081378011631127,0,0
E02000268,London,134.63480309660048,12,20.673564232020645,0,0
E02000269,London,38.33375926399182,3,10.619254408382316,0,0
E02000270,London,127.46972594008922,10,36.35193779477374,0.12985877696152423,0.6
E02000271,London,43.52872896111433,3,9.989692542077771,0,0
E02000272,London,124.33944668946222,8,10.111129002175941,0,0
E02000274,London,126.84095553519836,18,28.372757240504544,0,0
E02000275,London,356.29453681710214,27,28.41455331221958,0,0.25
E02000276,London,77.25587144622992,5,13.75779434487021,0,0
E02000277,London,78.22685788787483,6,26.253056453715775,0,0
E02000278,London,163.98483140309523,16,38.265856205800965,0,0.6
E02000279,London,45.934772622875514,6,32.456668197825756,0,0.3333333333333333
E02000280,London,293.87563183260846,25,21.635335253320793,0.15924965817623876,0.2
E02000281,London,97.60329682247044,9,28.595596898384123,0.23850906683257322,0.4
E02000282,London,150.51173991571343,15,40.08029329721052,0,1
E02000283,London,56.471651231082,5,31.04152496046984,0,0.4
E02000284,London,57.83021050196623,5,17.04367742308582,0,0
E02000285,London,108.9833411178577,7,11.353098396387981,0,0
E02000286,London,211.46616541353382,18,16.803420465225564,0,0
E02000287,London,277.8935667639294,20,13.180763929415034,0,0
E02000288,London,70.15082427218519,8,33.580226499473866,0,0.5
E02000289,London,76.34753397465262,5,10.216936784241868,0,0
E02000290,London,234.77622890682318,16,38.515811592076304,0,1
E02000291,London,155.5966157736069,16,22.55068413886998,0.0739557368574602,0.2
E02000292,London,111.9365014755266,11,21.67331749262237,0,0
E02000293,London,93.00883583940474,6,10.665717873197954,0,0
E02000294,London,115.75292013048511,11,29.86228033252657,0,0.2
E02000295,London,67.06158488878954,6,14.308443724153348,0,0
E02000296,London,274.43929213589473,29,18.517170720166558,0,0
E02000297,London,83.45503859795535,8,11.131785416232004,0,0
E02000298,London,136.47642679900744,11,8.651958312655086,0,0
E02000299,London,118.0869907498524,12,34.087675063963786,0,0.6
E02000300,London,209.5973524544953,19,31.719105019305022,0,0.4
E02000301,London,82.51581553131017,9,39.427692307692304,0.046494766760120244,0.8333333333333334
E02000302,London,81.85219831618335,7,19.427283208606173,0,0
E02000303,London,87.15546355812181,8,39.479481969713476,0,0.8
E02000304,London,259.96533795493934,21,9.344132953701411,0,0
E02000305,London,144.99219272808386,13,15.37752063350435,0,0
E02000306,London,129.89824637367394,12,43.64531370426499,0,1
E02000307,London,109.12698412698413,11,25.04205476190476,0,0
